Title,Reviews,Review_Points,Address,Website,Phone,latitude,longitude,Category,Price_Range
Akash Miami Beach,494 reviews,4.6,"1435 Alton Rd, Miami Beach, FL 33139",akashmiamibeach.com,(305) 397-8846,25.7864353,-80.1407804,Indian restaurant,$$
Aura Fish & Steak Restaurant,479 reviews,4.3,"927 Lincoln Rd Unit #200, Miami Beach, FL 33139",Add website,(305) 695-8898,25.7908667,-80.1383113,American restaurant,$$
Babylon Greek & Turkish Mediterranean Restaurant,"1,121 reviews",4.5,"560 Washington Ave, Miami Beach, FL 33139",babylonmiami.com,(786) 216-7230,25.7756173,-80.1341789,Mediterranean restaurant,$$
Beijing Cafe,187 reviews,4.2,"6950 Collins Ave, Miami, FL 33141",miamibeijingcafe.com,(305) 866-2855,25.855263,-80.120747,Chinese restaurant,$
Blocks Pizza Deli,709 reviews,4.6,"1447 Washington Ave, Miami Beach, FL 33139",blockspizzadeli.com,(305) 763-8788,25.7871704,-80.1315888,Pizza restaurant,$
Ceviches by Divino Miami Beach,306 reviews,4.7,"2895A Collins Ave, Miami Beach, FL 33140",cevichesbydivino.com,(305) 763-8032,25.8045989,-80.1251446,Peruvian restaurant,$$
Chalan on the Beach,"2,200 reviews",4.5,"1580 Washington Ave, Miami Beach, FL 33139",facebook.com,(305) 532-8880,25.788956,-80.132021,Peruvian restaurant,$$
China Moon,123 reviews,4,"1540 Alton Rd, Miami Beach, FL 33139",chinamoonsouthbeach.com,(305) 532-8758,25.7879979,-80.1416944,Chinese restaurant,$
Chotto Matte Miami,770 reviews,4.2,"1666 Lenox Ave #1664, Miami Beach, FL 33139",chotto-matte.com,(305) 690-0743,25.7911259,-80.1402338,Peruvian restaurant,$
CVI.CHE 105,"7,152 reviews",4.8,"1245 Lincoln Rd, Miami Beach, FL 33139",ceviche 105.com,(786) 534-8651,25.7906528,-80.1422583,Peruvian restaurant, 
Dolce Italian Miami,876 reviews,4.4,"1690 Collins Ave, Miami Beach, FL 33139",dolceitalianrestaurant.com,(786) 975-2550,25.7921409,-80.1299775,Restaurant,$$$
Espa–ola Way,379 reviews,4.6,"401-499 Espa–ola Way, Miami Beach, FL 33139",visitespanolaway.com,-,25.7868335,-80.1332314,,$
Estiatorio Milos by Costa Spiliadis,"1,053 reviews",4.5,"730 1st St, Miami Beach, FL 33139",estiatoriomilos.com,(305) 604-6800,25.769784,-80.1357689,Greek restaurant,$$$$
FIX,12 reviews,4.6,"944 Collins Ave, Miami Beach, FL 33139",bluemoonhotel.com,(305) 673-2262,25.7801062,-80.1319965,New American restaurant,$$
Fogo de Ch‹o Brazilian Steakhouse,"2,076 reviews",4.5,"836 1st St, Miami Beach, FL 33139",fogodechao.com,(305) 672-0011,25.769632,-80.1366797,Brazilian restaurant,$$$
Front Porch Cafe,"2,630 reviews",4.3,"1458 Ocean Dr, Miami Beach, FL 33139",frontporchoceandrive.com,(305) 531-8300,25.7871279,-80.1297932,American restaurant,$$
Full Bloom Vegan,748 reviews,4.5,"1670 James Ave, Miami Beach, FL 33139",fullbloomvegan.com,(305) 397-8018,25.7915023,-80.130909,Vegan restaurant,$$$
Grafa Pizza & Pasta,753 reviews,4.7,"1357 Washington Ave, Miami Beach, FL 33139",grafapizza.com,(305) 397-8975,25.7851365,-80.1318197,Pizza restaurant,$
Havana 1957 Cuban Cuisine Espanola Way,"4,983 reviews",4.4,"405 Espa–ola Way, Miami Beach, FL 33139",havana1957.com,(305) 503-3828,25.7870419,-80.131975,Cuban restaurant,$$
Havana 1957 Cuban Cuisine Lincoln Road,"2,290 reviews",4.4,"819 Lincoln Rd, Miami Beach, FL 33139",havana1957.com,(305) 397-8683,25.7907622,-80.1370208,Cuban restaurant,$$
Havana 1957 Cuban Cuisine Ocean Drive,"3,511 reviews",4.4,"1410 Ocean Dr, Miami Beach, FL 33139",havana1957.com,(305) 763-8671,25.7855351,-80.1300123,Cuban restaurant,$$
Havana 1957 Cuban Cuisine South Beach at Breakwater,895 reviews,4.3,"940 Ocean Dr, Miami Beach, FL 33139",havana1957.com,(786) 864-2881,25.7799012,-80.1308706,Cuban restaurant,$
Havana Vieja South Beach,617 reviews,4.9,"944 Washington Ave, Miami Beach, FL 33139",havanaviejasouthbeach.com,(786) 739-9749,25.7802706,-80.1332002,Cuban restaurant,$
Icebox Cafe,447 reviews,4.5,"1855 Purdy Ave, Miami Beach, FL 33139",iceboxcafe.com,(305) 538-8448,25.7943303,-80.1442469,American restaurant,$$
Jungle Vibes,48 reviews,4.7,"1657 West Ave, Miami Beach, FL 33139",myjunglevibe.com,(305) 763-8116,25.7907955,-80.1423297,Health food restaurant,$$
Juvia,"1,655 reviews",4.1,"1111 Lincoln Rd, Miami Beach, FL 33139",juviamiami.com,(305) 763-8272,25.7906917,-80.1401891,American restaurant,$$$
Kalamata Mediterranean Cuisine,418 reviews,4.8,"423 Washington Ave, Miami Beach, FL 33139",business.site,(786) 953-4662,25.7740644,-80.1340707,Mediterranean restaurant,$$
La Cerveceria de Barrio Miami,761 reviews,4.2,"836 Lincoln Rd, Miami Beach, FL 33139",lacerveceriadebarrio.com,(305) 535-7400,25.7902794,-80.1372321,Mexican restaurant,$$
La Leggenda Pizzeria,992 reviews,4.7,"224 Espa–ola Way, Miami Beach, FL 33139",laleggendapizzeria.com,(305) 763-8566,25.7867889,-80.1312662,Pizza restaurant,$$
La Locanda restaurant bar pizzeria,678 reviews,4.5,"419 Washington Ave, Miami Beach, FL 33139",lalocandamiami.com,(305) 538-6277,25.7740054,-80.134085,Italian restaurant,$$
Layla,41 reviews,4.5,"2216 Park Ave, Miami Beach, FL 33139",laylamiami.com,(844) 463-1215,25.7986092,-80.1302714,Restaurant,$
Miami Mediterranean,537 reviews,4.5,"209 11th St, Miami Beach, FL 33139",miamimediterranean.com,(305) 674-8384,25.781959,-80.1317587,Mediterranean restaurant,$
